Year,State,CD #,Total Congressional Votes,Congressional D Votes,Congressional R Votes
2024,IL,13,329500,191339,137917
2024,IL,14,332929,183446,149464
2024,IL,15,310234,0,308825
2024,IL,16,311108,0,310925
2024,IL,17,312828,170261,142567
2024,IL,2,289843,195777,94004
2024,IL,3,259908,174825,84987
2024,IL,4,206396,139343,56323
2024,IL,5,363965,251025,112931
2024,IL,6,362849,196647,166116
2024,IL,7,267152,222408,44598
2024,IL,8,303073,172920,130153
2024,IL,9,338828,231722,107106
2024,IN,1,322723,172467,145056
2024,IN,2,294618,101962,184848
2024,IN,3,311539,97871,202653
2024,IN,4,323595,100091,209794
2024,IN,5,359204,136554,203293
2024,IN,6,314909,99841,201357
2024,IN,7,272148,185987,78792
2024,IN,8,323633,95311,219941
2024,IN,9,345738,113400,222884
2024,KS,1,304458,93965,210493
2024,KS,2,302761,115685,172847
2024,KS,3,393333,209871,167570
2024,KS,4,305097,106632,198465
2024,KY,1,338253,85524,252729
2024,KY,2,345855,93029,252826
2024,KY,3,327864,203100,124713
2024,KY,4,279517,0,278386
2024,KY,5,261407,0,261407
2024,KY,6,352638,130345,222293
2024,LA,1,357720,85911,265028
2024,LA,2,305184,216491,88693
2024,LA,3,320682,81157,239525
2024,LA,4,306248,0,306248
2024,LA,5,319851,82981,236870
2024,LA,6,296033,184296,111737
2024,MA,1,385005,223325,0
2024,MA,2,389337,251441,0
2024,MA,3,362678,264698,0
2024,MA,4,411578,289347,0
2024,MA,5,379701,286689,0
2024,MA,6,438573,321186,0
2024,MA,7,283194,232094,0
2024,MA,8,397767,265432,110638
2024,MA,9,465097,251931,193822
2024,MD,1,414680,154985,246356
2024,MD,2,384794,223797,152079
2024,MD,3,399200,236681,151186
2024,MD,4,270970,239596,30454
2024,MD,5,418603,283619,133985
2024,MD,6,376624,199788,175974
2024,MD,7,290137,232849,49799
2024,MD,8,380320,292101,77821
2024,ME,1,439567,249798,154849
2024,ME,2,402936,197151,194445
2024,MI,1,477184,180937,282264
2024,MI,10,425301,191363,217437
2024,MI,11,447925,260780,177432
2024,MI,12,363499,253354,92490
2024,MI,13,321649,220788,78917
2024,MI,2,428550,135824,279167
2024,MI,3,420289,225510,183952
2024,MI,4,425817,184641,234489
2024,MI,5,409876,134282,269215
2024,MI,6,453306,281162,158658
2024,MI,7,450912,209959,226722
2024,MI,8,424350,217490,189317
2024,MI,9,468238,138138,312593
2024,MN,1,377601,0,220929
2024,MN,2,417319,231751,175621
2024,MN,3,411140,0,170427
2024,MN,4,361043,242802,117618
2024,MN,5,351047,261066,86213
2024,MN,6,416496,0,260095
2024,MN,7,390510,0,275098
2024,MN,8,421606,0,244498
2024,MO,1,307265,233312,56453
2024,MO,2,428392,182056,233444
2024,MO,3,392463,138532,240620
2024,MO,4,365696,96568,259886
2024,MO,5,331929,199900,120957
2024,MO,6,375186,100999,265210
2024,MO,7,367868,96655,263231
2024,MO,8,356064,77649,271249
2024,MS,1,320286,96697,223589
2024,MS,2,286841,177885,108956
2024,MS,3,265159,0,265159
2024,MS,4,290866,75771,215095
2024,MT,1,322266,143783,168529
2024,MT,2,275545,93713,181832
2024,NC,1,376324,186341,180034
2024,NC,10,406695,155383,233814
2024,NC,11,432523,186977,245546
2024,NC,12,350755,259627,91128
2024,NC,13,415490,171835,243655
2024,NC,14,401256,168269,232987
2024,NC,2,405517,268662,128164
2024,NC,3,320841,0,248276
2024,NC,4,428780,308064,112084
2024,NC,5,400694,162390,238304
2024,NC,6,337320,0,233303
2024,NC,7,433534,179512,254022
2024,NC,8,400349,161709,238640
2024,NC,9,373077,140852,210042
2024,ND,AL,359787,0,249101
2024,NE,1,312057,124498,187559
2024,NE,2,314567,154369,160198
2024,NE,3,302768,59287,243481
2024,NH,1,416562,218577,185936
2024,NH,2,414424,211641,187810
2024,NJ,1,361060,208808,144390
2024,NJ,10,244577,182020,54405
2024,NJ,11,393751,222583,164556
2024,NJ,12,321660,196871,117222
2024,NJ,2,371620,153117,215946
2024,NJ,3,379484,202034,169454
2024,NJ,4,394228,124803,265652
2024,NJ,5,381889,208359,165287
2024,NJ,6,303681,170275,122519
2024,NJ,7,431398,200025,223331
2024,NJ,8,196765,116434,68152
2024,NJ,9,257013,130514,117939
2024,NM,1,342749,193203,149546
2024,NM,2,265322,138177,127145
2024,NM,3,288427,162342,126085
2024,NV,1,322899,167885,143650
2024,NV,2,399584,0,219919
2024,NV,3,372388,191304,181084
2024,NV,4,332206,174926,148061
2024,NY,1,430460,183540,226285
2024,NY,10,279274,206206,37555
2024,NY,11,274589,93586,167099
2024,NY,12,341969,260165,62989
2024,NY,13,241890,181800,35822
2024,NY,14,204917,132714,59078
2024,NY,15,188545,130392,36010
2024,NY,16,331087,217668,86408
2024,NY,17,393960,173899,197845
2024,NY,18,376288,207106,155129
2024,NY,19,389326,192647,184290
2024,NY,2,363116,136371,202597
2024,NY,20,377748,221997,141151
2024,NY,21,360458,132447,215996
2024,NY,22,367263,194450,161939
2024,NY,23,397621,128397,246969
2024,NY,24,378911,123317,235867
2024,NY,25,379616,219175,141195
2024,NY,26,342404,209131,111772
2024,NY,3,381882,187651,174693
2024,NY,4,392330,191760,183157
2024,NY,5,243796,168425,56689
2024,NY,6,211157,120205,74559
2024,NY,7,237335,172795,48435
