State,CD #,Year,Reock,Rating,Polsby-Popper,Rating.1,KIWYSI Score,CD 2022 Total Votes,CD 2022 D Votes,CD 2022 R Votes,CD 2024 Total Votes,CD 2024 D Votes,CD 2024 R Votes,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
CA,14,2026,0.33,32.0,0.38,70.0,68.0,,,,,,,590385,159567,128317,35060,257177,14384,10868,,,,,,,,327119,234592,85794,285585.0,186755.0,87473.0
CA,15,2026,0.26,4.0,0.36,65.0,59.0,,,,,,,609967,184078,150342,22421,241550,13137,10719,,,,,,,,351206,272983,71576,305556.0,220581.0,74238.0
CA,16,2026,0.33,32.0,0.19,21.0,27.0,,,,,,,600046,271719,108504,16513,194315,12343,4350,,,,,,,,378287,284912,85226,340107.0,245843.0,82146.0
CA,17,2026,0.49,97.0,0.25,38.0,49.0,,,,,,,605246,141380,95762,16976,345732,10198,4739,,,,,,,,303008,221507,75429,264237.0,177855.0,74877.0
CA,18,2026,0.27,9.0,0.2,24.0,40.0,,,,,,,574921,126709,351386,16613,76233,27770,4019,,,,,,,,267322,187853,73682,237448.0,148784.0,81233.0
CA,19,2026,0.15,0.0,0.1,0.0,1.0,,,,,,,609585,315206,133987,19782,127560,18784,5082,,,,,,,,412422,283131,119846,376406.0,246335.0,116873.0
CA,20,2026,0.42,67.0,0.1,0.0,24.0,,,,,,,561841,288435,190350,23306,42887,25129,2673,,,,,,,,330665,118319,204971,315433.0,103304.0,204989.0
CA,21,2026,0.25,1.0,0.16,15.0,31.0,,,,,,,537056,121795,320267,30925,58264,23342,2141,,,,,,,,230879,137371,88586,201804.0,104262.0,92148.0
CA,22,2026,0.28,11.0,0.13,7.0,20.0,,,,,,,539701,91856,376753,33102,32908,21762,1828,,,,,,,,189956,108930,76598,171160.0,81761.0,84855.0
CA,23,2026,0.42,67.0,0.25,39.0,52.0,,,,,,,575877,250726,223022,56034,32807,25439,4191,,,,,,,,301409,128992,165463,276563.0,107871.0,161464.0
