State,CD #,Year,Reock,Rating,Polsby-Popper,Rating.1,KIWYSI Score,CD 2022 Total Votes,CD 2022 D Votes,CD 2022 R Votes,CD 2024 Total Votes,CD 2024 D Votes,CD 2024 R Votes,Voting Age Total Population (VAP),White VAP,Hispanic VAP,Black VAP,Asian VAP,Native American VAP,Pacific VAP,Total Population,White Population,Hispanic Population,Black Population,Asian Population,Native American Population,Pacific Population,Pres 2020 Total Votes,Pres 2020 D Votes,Pres 2020 R Votes,Pres 2024 Total Votes,Pres 2024 D Votes,Pres 2024 R Votes
CA,9,2026,0.24,0,0.09,0,11,,,,,,,567270,164929,195496,74526,125001,21038,9017,760065,194161,288030,104430,169287,28985,12567,295299,183175,105771,268485,145369,114692
CA,10,2026,0.4,58,0.24,36,55,,,,,,,588180,310852,105421,29579,132198,14010,5218,760066,374313,151209,42013,182863,18956,7408,413477,282092,122486,377829,246078,119171
CA,11,2026,0.1,0,0.26,41,7,,,,,,,664995,296850,87723,43691,227568,12865,4609,760067,328242,107106,52253,262605,14516,5709,393710,339716,46188,361181,295462,50870
CA,12,2026,0.49,95,0.49,97,89,,,,,,,621080,218543,131521,111824,152734,19039,5745,760065,249406,179534,140008,186168,22904,7953,367980,328667,31678,318372,269134,33869
CA,13,2026,0.42,67,0.21,26,41,,,,,,,535741,130366,323990,25596,47664,27213,4402,760067,158370,492863,38827,66468,38299,6456,223212,128684,89225,207956,101626,100599
CA,14,2026,0.33,32,0.38,70,68,,,,,,,590385,159567,128317,35060,257177,14384,10868,760065,185775,177264,46588,341689,18647,14320,327119,234592,85794,285585,186755,87473
CA,15,2026,0.26,4,0.36,65,59,,,,,,,609967,184078,150342,22421,241550,13137,10719,760066,216763,201867,28846,300594,16686,14175,351206,272983,71576,305556,220581,74238
CA,16,2026,0.33,32,0.19,21,27,,,,,,,600046,271719,108504,16513,194315,12343,4350,760066,322755,151126,22413,254704,15561,5832,378287,284912,85226,340107,245843,82146
CA,17,2026,0.49,97,0.25,38,49,,,,,,,605246,141380,95762,16976,345732,10198,4739,760067,162408,130456,22677,439749,13304,6348,303008,221507,75429,264237,177855,74877
CA,18,2026,0.27,9,0.2,24,40,,,,,,,574921,126709,351386,16613,76233,27770,4019,760066,143922,500484,22198,95404,36070,5377,267322,187853,73682,237448,148784,81233
CA,19,2026,0.15,0,0.1,0,1,,,,,,,609585,315206,133987,19782,127560,18784,5082,760067,366442,187658,26816,165500,23670,6972,412422,283131,119846,376406,246335,116873
CA,20,2026,0.42,67,0.1,0,24,,,,,,,561841,288435,190350,23306,42887,25129,2673,760065,358483,288988,34994,59802,35798,3908,330665,118319,204971,315433,103304,204989
CA,21,2026,0.25,1,0.16,15,31,,,,,,,537056,121795,320267,30925,58264,23342,2141,760067,144585,482325,48172,84378,35041,3190,230879,137371,88586,201804,104262,92148
CA,22,2026,0.28,11,0.13,7,20,,,,,,,539701,91856,376753,33102,32908,21762,1828,760066,107893,563305,44414,45237,34844,2540,189956,108930,76598,171160,81761,84855
CA,23,2026,0.42,67,0.25,39,52,,,,,,,575877,250726,223022,56034,32807,25439,4191,760066,299755,324842,80938,42800,34692,6021,301409,128992,165463,276563,107871,161464
CA,24,2026,0.25,0,0.15,12,16,,,,,,,611943,330713,208050,15747,45092,23321,2917,760065,378230,294734,19323,56034,30452,4067,378599,239698,129955,351365,214059,126370
CA,25,2026,0.33,33,0.16,16,31,,,,,,,579383,192870,325436,27286,26302,22373,2269,760066,217879,464876,38178,35419,33630,3625,283332,162219,115733,270081,139917,124154
